codigo,pergunta,Ano
A001,Tipo do domicílio,2019
A002010,Qual é o material que predomina na construção das paredes externas deste domicílio?,2019
A003010,Material predominante na cobertura (telhado) do domicílio,2019
A004010,Qual é o material que predomina no piso deste domicílio,2019
A005010,Qual é a principal forma de abastecimento de água deste domicílio,2019
A005012,Este domicílio está ligado à rede geral de distribuição de água?,2019
A00601,A água utilizada neste domicílio chega,2019
A009010,A água utilizada para beber neste domicílio é,2019
A01001,Quantos cômodos têm este domicílio,2019
A011,Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio,2019
A01401,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade",2019
A01402,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade",2019
A01403,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material",2019
A01501,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?,2019
A016010,Qual o (principal) destino dado ao lixo,2019
A018011,Neste domicílio existe televisão em cores,2019
A018012,Quantos?,2019
A018013,Neste domicílio existe geladeira,2019
A018014,Quantos?,2019
A018015,Neste domicílio existe máquina de lavar roupa,2019
A018016,Quantos?,2019
A018017,Neste domicílio existe telefone fixo convencional,2019
A018018,Quantos?,2019
A018019,Neste domicílio existe telefone móvel celular,2019
A018020,Quantos?,2019
A018021,Neste domicílio existe forno micro-ondas,2019
A018022,Quantos?,2019
A018023,"Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?",2019
A018024,Quantos?,2019
A018025,Neste domicílio existe motocicleta,2019
A018026,Quantos?,2019
A018027,Neste domicílio existe automóvel,2019
A018028,Quantos?,2019
A01901,"Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?",2019
A02101,"No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)",2019
A02102,Quantos?,2019
A02201,"Em seu domicílio, há algum animal de estimação",2019
A02305,Quantos destes animais são gatos,2019
A02306,Quantos destes animais são cachorros,2019
A02307,Quantos destes animais são aves,2019
A02308,Quantos destes animais são peixes,2019
A02401,"Nos últimos 12 meses, quantos gatos foram vacinados contra raiva?",2019
A02402,"Nos últimos 12 meses , quantos cachorros foram vacinados contra raiva?",2019
B001,O seu domicílio está cadastrado na unidade de saúde da família,2019
B002,. Quando o seu domicílio foi cadastrado,2019
