Códigos das respostas,Respostas Possíveis,Código da variável,Número do item da pergunta,Ano
11,Rondônia,V0001,-,2019
12,Acre,V0001,-,2019
13,Amazonas,V0001,-,2019
14,Roraima,V0001,-,2019
15,Pará,V0001,-,2019
16,Amapá,V0001,-,2019
17,Tocantins,V0001,-,2019
21,Maranhão,V0001,-,2019
22,Piauí,V0001,-,2019
23,Ceará,V0001,-,2019
24,Rio Grande do Norte,V0001,-,2019
25,Paraíba,V0001,-,2019
26,Pernambuco,V0001,-,2019
27,Alagoas,V0001,-,2019
28,Sergipe,V0001,-,2019
29,Bahia,V0001,-,2019
31,Minas Gerais,V0001,-,2019
32,Espírito Santo,V0001,-,2019
33,Rio de Janeiro,V0001,-,2019
35,São Paulo,V0001,-,2019
41,Paraná,V0001,-,2019
42,Santa Catarina,V0001,-,2019
43,Rio Grande do Sul,V0001,-,2019
50,Mato Grosso do Sul,V0001,-,2019
51,Mato Grosso,V0001,-,2019
52,Goiás,V0001,-,2019
53,Distrito Federal,V0001,-,2019
01,Realizada,V0015,-,2019
02,Domicilio Fechado,V0015,-,2019
03,Recusa,V0015,-,2019
04,Outro Motivo,V0015,-,2019
05,Domicílio vago,V0015,-,2019
06,Domicílio de uso ocasional,V0015,-,2019
07,Domicílio coletivo ou improvisado,V0015,-,2019
08,Domicílio em obras ou em ruínas,V0015,-,2019
09,Domicilio demolido,V0015,-,2019
10,Domicílio não encontrado,V0015,-,2019
11,Unidade não residencial,V0015,-,2019
12,Domicílio fora do setor,V0015,-,2019
01 a 30,Pessoas,V0022,-,2019
1,Urbano,V0026,-,2019
2,Rural,V0026,-,2019
1,Capital,V0031,-,2019
2,"Resto da RM (Região Metropolitana, excluindo a capital)",V0031,-,2019
3,RIDE (excluindo a capital),V0031,-,2019
4,"Resto da UF (Unidade da Federação, excluindo a região metropolitana e RIDE)",V0031,-,2019
0,Não selecionado,V0025A,-,2019
1,Selecionado,V0025A,-,2019
9,Não aplicável,V0025A,-,2019
0,Não selecionado,V0025B,-,2019
1,Selecionado,V0025B,-,2019
9,Não aplicável,V0025B,-,2019
1,Casa,A001,A1,2019
2,Apartamento,A001,A1,2019
3,"Habitação em casa de cômodos, cortiço ou cabeça de porco",A001,A1,2019
9 ,Ignorado,A001,A1,2019
1,Alvenaria com revestimento ou taipa revestida,A002010,A2a,2019
2,Alvenaria sem revestimento,A002010,A2a,2019
3,Taipa sem revestimento,A002010,A2a,2019
4,Madeira apropriada para construção (aparelhada),A002010,A2a,2019
5,Madeira aproveitada,A002010,A2a,2019
6,Outro material,A002010,A2a,2019
9 ,Ignorado,A002010,A2a,2019
1,Telha sem laje de concreto,A003010,A3a,2019
2,Telha com laje de concreto,A003010,A3a,2019
3,Somente laje de concreto,A003010,A3a,2019
4,Madeira apropriada para construção (aparelhada),A003010,A3a,2019
5,"Zinco, alumínio ou chapa metálica",A003010,A3a,2019
6,Outro material,A003010,A3a,2019
9 ,Ignorado,A003010,A3a,2019
1,"Cerâmica, lajota ou pedra (inclusive outros pisos frios como porcelanato e granito)",A004010,A4a,2019
2,"Madeira apropriada para construção (aparelhada) (tábua corrida, taco, parquet e laminado)",A004010,A4a,2019
3,Cimento,A004010,A4a,2019
4,Terra,A004010,A4a,2019
5,Outro material ,A004010,A4a,2019
9 ,Ignorado,A004010,A4a,2019
01 a 30,Cômodo(s) no domicílio,A01001,A10a,2019
99,Ignorado,A01001,A10a,2019
01 a 15,Cômodo(s) servindo de dormitório,A011,A11,2019
99,Ignorado,A011,A11,2019
1,Rede geral de distribuição,A005010,A5a,2019
2,Poço profundo ou artesiano,A005010,A5a,2019
3,"Poço raso, freático ou cacimba",A005010,A5a,2019
4,Fonte ou nascente,A005010,A5a,2019
5,Água da chuva armazenada,A005010,A5a,2019
6,Outra,A005010,A5a,2019
9 ,Ignorado,A005010,A5a,2019
1,Sim,A005012,A5b,2019
2,Não ,A005012,A5b,2019
9 ,Ignorado,A005012,A5b,2019
1, Canalizada em pelo menos um cômodo ,A00601,A6a,2019
2, Canalizada no terreno ou propriedade ,A00601,A6a,2019
3,Não canalizada ,A00601,A6a,2019
9 ,Ignorado,A00601,A6a,2019
1, Filtrada,A009010,A9a,2019
2, Fervida,A009010,A9a,2019
3, Tratada com hipoclorito de sódio (cloro),A009010,A9a,2019
4, Tratada de outra forma no domicílio,A009010,A9a,2019
5, Mineral industrializada,A009010,A9a,2019
6, Sem tratamento no domicílio,A009010,A9a,2019
9 ,Ignorado,A009010,A9a,2019
01 a 15,Banheiro(s) ou sanitário(s),A01401,A14a,2019
0,Nenhum,A01401,A14a,2019
99 ,Ignorado,A01401,A14a,2019
01 a 15,Banheiro(s) ou sanitário(s),A01402,A14b,2019
00,Nenhum,A01402,A14b,2019
99,Ignorado,A01402,A14b,2019
1,Sim,A01403,A14c,2019
2,Não ,A01403,A14c,2019
9 ,Ignorado,A01403,A14c,2019
1,Rede geral de esgoto ou pluvial,A01501,A15a,2019
2,Fossa séptica ligada à rede,A01501,A15a,2019
3,Fossa séptica não ligada à rede,A01501,A15a,2019
4,Fossa rudimentar,A01501,A15a,2019
5, Vala,A01501,A15a,2019
6," Rio, lago, córrego ou mar",A01501,A15a,2019
7,Outra,A01501,A15a,2019
9 ,Ignorado,A01501,A15a,2019
1, Coletado diretamente por serviço de limpeza (independente da frequência de dias de coleta),A016010,A16a,2019
2, Coletado em caçamba de serviço de limpeza,A016010,A16a,2019
3, Queimado (na propriedade),A016010,A16a,2019
4,Enterrado (na propriedade),A016010,A16a,2019
5, Jogado em terreno baldio ou logradouro,A016010,A16a,2019
6,Outro,A016010,A16a,2019
9 ,Ignorado,A016010,A16a,2019
1,Sim ,A018011,A18a,2019
2,Não,A018011,A18a,2019
9 ,Ignorado,A018011,A18a,2019
01 a 98,Televisão em cores,A018012,A18a,2019
99,Ignorado,A018012,A18a,2019
1,Sim ,A018013,A18a,2019
2,Não,A018013,A18a,2019
9 ,Ignorado,A018013,A18a,2019
01 a 98,Geladeira,A018014,A18a,2019
99,Ignorado,A018014,A18a,2019
1,Sim ,A018015,A18a,2019
2,Não,A018015,A18a,2019
9 ,Ignorado,A018015,A18a,2019
01 a 98,máquina de lavar roupa ,A018016,A18a,2019
99,Ignorado,A018016,A18a,2019
1,Sim ,A018017,A18a,2019
2,Não,A018017,A18a,2019
9 ,Ignorado,A018017,A18a,2019
01 a 98,Telefone fixo,A018018,A18a,2019
99,Ignorado,A018018,A18a,2019
1,Sim ,A018019,A18a,2019
2,Não,A018019,A18a,2019
9 ,Ignorado,A018019,A18a,2019
01 a 98,Telefone celular,A018020,A18a,2019
99,Ignorado,A018020,A18a,2019
1,Sim ,A018021,A18a,2019
2,Não,A018021,A18a,2019
9 ,Ignorado,A018021,A18a,2019
01 a 98,Forno micro-ondas,A018022,A18a,2019
99,Ignorado,A018022,A18a,2019
1,Sim ,A018023,A18a,2019
2,Não,A018023,A18a,2019
9 ,Ignorado,A018023,A18a,2019
01 a 98,"Computador (computadores de mesa, laptops, notebooks)",A018024,A18a,2019
99,Ignorado,A018024,A18a,2019
1,Sim ,A018025,A18a,2019
2,Não,A018025,A18a,2019
9 ,Ignorado,A018025,A18a,2019
01 a 98,Motocicletas,A018026,A18a,2019
99,Ignorado,A018026,A18a,2019
1,Sim ,A018027,A18a,2019
2,Não,A018027,A18a,2019
9 ,Ignorado,A018027,A18a,2019
01 a 98,Automóvel,A018028,A18a,2019
99,Ignorado,A018028,A18a,2019
1,Sim ,A01901,A19a,2019
2,Não,A01901,A19a,2019
9 ,Ignorado,A01901,A19a,2019
1,Sim,A02101,A21a,2019
2,Não,A02101,A21a,2019
01 a 98,Trabalhadores domésticos,A02102,A21a,2019
99,Ignorado,A02102,A21a,2019
1,Sim,A02201,A22a,2019
2,Não,A02201,A22a,2019
9 ,Ignorado,A02201,A22a,2019
00 a 98,Gatos,A02305,A23a,2019
99,Ignorado,A02305,A23a,2019
00 a 98,Cachorros,A02306,A23a,2019
99,Ignorado,A02306,A23a,2019
00 a 98,Aves,A02307,A23a,2019
99,Ignorado,A02307,A23a,2019
00 a 98,Peixes,A02308,A23a,2019
99,Ignorado,A02308,A23a,2019
00 a 98,Gatos vacinados,A02401,A24a,2019
99,Ignorado,A02401,A24a,2019
00 a 98,Cachorros vacinados,A02402,A24b,2019
99,Ignorado,A02402,A24b,2019
1,Sim,B001,B1,2019
2,Não,B001,B1,2019
3,Não sabe,B001,B1,2019
9 ,Ignorado,B001,B1,2019
1,Há menos de 2 meses,B002,B2,2019
2,De 2 a menos de 6 meses,B002,B2,2019
3,De 6 meses a menos de um ano,B002,B2,2019
4,Há um ano ou mais,B002,B2,2019
9 ,Ignorado,B002,B2,2019
1,Mensalmente,B003,B3,2019
2,A cada 2 meses,B003,B3,2019
3,De 2 a 4 vezes ,B003,B3,2019
4,Uma vez ,B003,B3,2019
5,Nunca recebeu,B003,B3,2019
9 ,Ignorado,B003,B3,2019
1,Mensalmente,B004,B4,2019
2,A cada 2 meses,B004,B4,2019
3,De 2 a 4 vezes ,B004,B4,2019
4,Uma vez,B004,B4,2019
5,Nunca recebeu,B004,B4,2019
9 ,Ignorado,B004,B4,2019
01,Pessoa responsável pelo domicílio ,C004,C4,2019
02,Cônjuge ou companheiro(a) de sexo diferente,C004,C4,2019
03,Cônjuge ou companheiro(a) do mesmo sexo,C004,C4,2019
04,Filho(a) do responsável e do cônjuge ,C004,C4,2019
05,Filho(a) somente do responsável,C004,C4,2019
06,Filho(a) somente do cônjuge,C004,C4,2019
07,Genro ou nora,C004,C4,2019
08,"Pai, mãe, padrasto ou madrasta",C004,C4,2019
09,Sogro(a),C004,C4,2019
10,Neto(a),C004,C4,2019
11,Bisneto(a) ,C004,C4,2019
12,Irmão ou irmã,C004,C4,2019
13,Avô ou avó,C004,C4,2019
14,Outro parente,C004,C4,2019
15,Agregado(a) - Não parente que não compartilha despesas,C004,C4,2019
16,Convivente - Não parente que compartilha despesas,C004,C4,2019
17,Pensionista,C004,C4,2019
18,Empregado(a) doméstico(a),C004,C4,2019
19,Parente do(a) empregado(a) doméstico(a),C004,C4,2019
1,Homem,C006,C6,2019
2,Mulher,C006,C6,2019
01 a 31,Dia de nascimento ,C00701,C7,2019
99,Não informado,C00701,C7,2019
01 a 12,Mês,C00702,C7,2019
99,Não informado,C00702,C7,2019
ano atual - 130 a ano atual,Ano,C00703,C7,2019
9999,Não informado,C00703,C7,2019
000 a 130,Idade (em anos),C008,C8,2019
1,Branca,C009,C9,2019
2,Preta,C009,C9,2019
3,Amarela,C009,C9,2019
4,Parda ,C009,C9,2019
5,Indígena,C009,C9,2019
9,Ignorado,C009,C9,2019
1,Sim,C01001,C10a,2019
2,Não,C01001,C10a,2019
9,Ignorado,C01001,C10a,2019
01,morador 1,C010010,C10a,2019
02,morador 2,C010010,C10a,2019
-,...,C010010,C10a,2019
30,morador 30,C010010,C10a,2019
1,Sim,C013,C13,2019
2,Não,C013,C13,2019
9,Ignorado,C013,C13,2019
1,Casamento civil,C014,C14,2019
2,União estável (convivência),C014,C14,2019
